ADD,                               1,11/05/2024,11:19:25,11:22:30,     185,       0,       1,       3,      83,       4,       0,       0,       0
ADD,                               1,11/05/2024,11:36:50,11:39:32,     162,       0,       1,       3,      91,      20,       0,       0,       0
ADD,                               1,11/05/2024,11:42:05,11:42:52,      47,       0,       0,       0,      30,       0,       0,       0,       0
ADD,                               1,11/05/2024,11:43:01,11:45:08,     127,       0,       1,       3,      89,       7,       0,       0,       0
ADD,                               1,11/05/2024,11:48:04,11:58:37,     633,       0,       1,       3,      42,       0,       0,       0,       0
ADD,                 <No ID Entered>,11/05/2024,12:30:04,12:35:29,     325,       0,       0,       0,      38,       3,       0,       0,       0
ADD,                 <No ID Entered>,11/05/2024,13:02:22,13:05:19,     177,       0,       1,       3,      68,       2,       0,       0,       0
ADD,                 <No ID Entered>,11/05/2024,13:05:43,13:07:12,      89,       0,       1,       3,      63,       7,       0,       0,       0
ADD,                 <No ID Entered>,11/05/2024,13:07:31,13:26:44,    1153,       0,       0,       0,       9,       0,       0,       0,       0
ADD,                 <No ID Entered>,11/06/2024,08:38:17,08:38:45,      28,       0,       0,       0,      10,       0,       0,       0,       0
ADD,                 <No ID Entered>,11/06/2024,12:55:16,12:56:08,      52,       0,       0,       0,       7,       0,       0,       0,       0
ADD,                 <No ID Entered>,11/06/2024,13:43:08,13:43:47,      39,       0,       0,       0,      23,       1,       0,       0,       0
ADD,                 <No ID Entered>,11/07/2024,11:50:23,11:56:58,     395,       0,       0,       0,     145,       2,       0,       0,       0
ADD,                 <No ID Entered>,11/07/2024,12:02:08,12:07:01,     293,       0,       1,       3,      83,       0,       0,       0,       0
ADD,                 <No ID Entered>,11/07/2024,12:14:26,12:15:17,      51,       0,       0,       0,      35,       0,       0,       0,       0
ADD,                 <No ID Entered>,11/07/2024,13:06:29,13:09:10,     161,       0,       0,       0,      39,       1,       0,       0,       0
MOD,                 <No ID Entered>,11/07/2024,13:10:16,13:10:46,      30,       0,       0,       0,      14,       0,       0,       0,       0
ADD,                 <No ID Entered>,11/07/2024,13:10:53,13:12:50,     117,       0,       0,       0,      42,       0,       0,       0,       0
MOD,                 <No ID Entered>,11/11/2024,09:34:28,09:34:50,      22,       0,       0,       0,       2,       0,       0,       0,       0
MOD,                 <No ID Entered>,11/11/2024,09:34:57,09:37:31,     154,       0,       0,       0,       1,       0,       0,       0,       0
ADD,                 <No ID Entered>,11/11/2024,09:45:04,09:52:52,     468,       0,       0,       0,      81,       1,       0,       0,       0
ADD,                 <No ID Entered>,11/11/2024,09:58:24,10:04:37,     373,       0,       1,       3,      73,       0,       0,       0,       0
